feature,importance
cat__diag_2_250.41,0.0018218587936645566
cat__diag_2_342,0.0017984403597814975
cat__diag_1_572,0.0017071045034643775
cat__gender_Male,0.0016939601260486398
cat__diag_1_427,0.0016360743832690631
cat__admission_type_id_2,0.0015988403746597833
cat__discharge_disposition_id_23,0.0015294901945700284
cat__diag_1_715,0.001514768011589461
cat__rosiglitazone_Steady,0.0015076887620593938
cat__gender_Female,0.0014717391604101883
cat__diag_2_285,0.0014473345834398758
cat__diag_2_428,0.0014169555209339007
cat__diag_1_722,0.0014011109705725129
cat__admission_type_id_5,0.0013735714763993855
cat__diag_3_414,0.001340208630057407
cat__diag_2_414,0.0013209008819013756
cat__age_[60-70),0.0013151579113176003
cat__A1Cresult_Norm,0.00128344338405179
cat__glipizide_Steady,0.0012769636582024514
cat__diag_3_496,0.0012092103106135879
cat__discharge_disposition_id_15,0.0011461968618173915
cat__diag_2_707,0.0011417405763988865
cat__admission_source_id_17,0.0011267125229132444
cat__diag_2_202,0.0011201109759095501
cat__diag_1_250.02,0.0011131061493660586
cat__admission_type_id_6,0.0011046261021499947
cat__diag_1_682,0.0010934622151263153
cat__glimepiride_No,0.0010875563825080766
cat__diag_3_707,0.001060818898573712
cat__age_[30-40),0.0010513473177837462
cat__glipizide_No,0.0010433996593450462
cat__diag_1_278,0.001025018326417662
cat__race_AfricanAmerican,0.0010210812865701613
cat__diag_3_581,0.0010108872239208827
cat__diag_1_574,0.0009968488817144793
cat__diag_1_250.11,0.0009689034281717209
cat__diag_1_276,0.0009529162093897451
cat__age_[0-10),0.0009491879200681715
cat__glimepiride_Steady,0.000938671723106025
cat__diag_1_787,0.0009379188350464651
cat__age_[90-100),0.0009245990275486429
cat__diag_1_435,0.0009101682850678523
cat__diag_2_413,0.0009076547972286981
cat__diag_3_197,0.0008786936949864408
cat__diag_3_278,0.000871169643376423
cat__diag_1_403,0.0008631966325993181
cat__glyburide_No,0.0008538223157663072
cat__diag_2_427,0.0008514368036905191
cat__metformin_Up,0.0008347963883301491
cat__A1Cresult_>7,0.0007747436133208376
cat__diag_2_250.02,0.0007707196465234078
cat__diag_1_250.13,0.0007538042532202746
cat__discharge_disposition_id_7,0.0007506523264451324
cat__diag_3_553,0.0007490623438875739
cat__diag_1_590,0.0007467904183524161
cat__glyburide_Steady,0.0007427543846779942
cat__diag_3_276,0.0007373561771812477
cat__diag_2_276,0.0007364959655401519
cat__age_[40-50),0.000734584301628499
cat__diag_2_278,0.0007329212571023456
cat__diag_1_780,0.0007168676249495703
cat__pioglitazone_No,0.0006982205790338085
cat__admission_source_id_6,0.0006964045938121248
cat__diag_3_250.7,0.0006635453017006168
cat__rosiglitazone_No,0.000654642673085669
cat__diag_1_218,0.0006362621996331279
cat__diag_3_428,0.0006333601507163475
cat__diag_2_491,0.0005979831782634201
cat__diag_1_493,0.0005936432491316931
cat__diag_1_618,0.0005926045538244785
cat__race_Hispanic,0.0005703776086522398
cat__pioglitazone_Steady,0.0005686120370884889
cat__diag_1_518,0.000564712404716072
cat__diag_1_410,0.0005613857945366603
cat__max_glu_serum_>300,0.0005403305347333145
cat__diag_3_402,0.0005361002680908537
cat__max_glu_serum_Norm,0.0005312149080072901
cat__diag_3_518,0.0005263694855545682
cat__diag_3_789,0.0005108752850639261
cat__diag_3_V45,0.0005102548557669748
cat__diag_2_411,0.0005072955723923229
cat__diag_3_780,0.0005069745044743297
cat__repaglinide_No,0.0004903000092194677
cat__discharge_disposition_id_25,0.0004901531508227936
cat__diag_3_41,0.0004820612398456742
cat__discharge_disposition_id_14,0.00048107169844465223
cat__diag_2_786,0.0004789144249778346
cat__diag_1_648,0.0004768768924374043
cat__diag_2_780,0.0004765897962174192
cat__diag_1_38,0.0004747829811214735
cat__diag_1_996,0.0004685792447700233
cat__diag_2_536,0.0004668623806750054
cat__diag_3_427,0.00045841006768625577
cat__admission_source_id_4,0.0004493669200748044
cat__diag_3_785,0.0004237845222955989
cat__diag_3_250.02,0.0004236242574108816
cat__diag_2_305,0.0004143864017755579
cat__diag_1_491,0.0004138909502400827
cat__diag_3_250.42,0.00041276912026092633
cat__diag_2_496,0.00041260332170926344
cat__diag_1_997,0.0004097175217294438
cat__diag_1_250.12,0.00040912417769618423
cat__diag_3_250.4,0.000409025996540073
cat__discharge_disposition_id_4,0.00040183128299808304
cat__diag_2_507,0.00040113436122103533
cat__diag_2_518,0.0003832149923018197
cat__diag_2_486,0.0003800065682124875
cat__diag_2_250.01,0.0003751141509553364
cat__diag_2_198,0.00037427088328618454
cat__diag_2_571,0.000373729093656299
cat__max_glu_serum_>200,0.0003499601915791035
cat__repaglinide_Steady,0.0003443726851713996
cat__diag_1_296,0.0003432830533171659
cat__diag_1_453,0.00034085907481493853
cat__diag_3_599,0.00033339612845109066
cat__admission_source_id_2,0.0003281945452867234
cat__diag_1_507,0.00032401889321003954
cat__diag_2_584,0.0003185052773071529
cat__diag_2_682,0.000318347439950049
cat__diag_1_584,0.0003009744138421631
cat__diag_2_493,0.0002941643199827461
cat__diag_1_250.03,0.00029231035419447475
cat__diag_1_592,0.0002851547051790499
cat__diag_1_250,0.00027484570931539116
cat__diag_2_425,0.0002729045993734871
cat__diag_2_599,0.00027211828085244
cat__diag_1_599,0.00026978667701543367
cat__diag_1_443,0.00026728818261820297
cat__diag_1_577,0.00026712605545981926
cat__diag_3_250.41,0.0002590586909058355
cat__diag_2_995,0.0002529128103969896
cat__diag_3_V10,0.000251462400804338
cat__diag_3_424,0.0002499877311739437
cat__diag_2_715,0.00024055034792314124
cat__diag_1_562,0.0002386400465463401
cat__diag_2_V10,0.00023588377342028495
cat__diag_3_511,0.0002345769297292063
cat__diag_3_458,0.00023361333200705274
cat__diag_2_162,0.00023327951414490146
cat__acarbose_No,0.00023048220344219628
cat__glyburide_Up,0.0002287352161344593
cat__diag_2_785,0.00022596580056136572
cat__diag_3_784,0.00022586990829575812
cat__diag_3_V58,0.00022506706656530561
cat__diag_2_V43,0.00021914746242623142
cat__diag_1_431,0.0002188240588309676
cat__diag_1_569,0.00021567318741826262
